id,exp,antibody,vaccine,coupon,severity,handicap,exp_again,why_norisk,sdist_1,sdist_2,sdist_3,sdist_4,sdist_5,sdist_6,sdist_7,out_antibody,out_vaccine,out_exp,out_coupon,pref,marry,child,working,income,start_time,start_date,nudge,female,age,fb,fb_active,get_coupon,importance,confident,flu_prob,rub_prob,rub_prob_me,wtp_flu,wtp_rub,sdf_f,sdf_u,df_p,df_f,pb,wtp_gain,wtp_loss,int_antibody,sint_antibody,done_antibody,int_vaccine,sint_vaccine,done_vaccine,int_exp,sint_exp,done_exp,int_coupon,sint_coupon,done_coupon
72,3,3,3,3,0,1,1,3,20,17,7,20,18,7,5,3,3,4,4,1,1,0,1,13,"2020/2/7 22:00","2020/2/7 22:18","G",0,57,0,0,0,3,1,10,20,0,-500,-1500,1.333333,1.333333,.9990509,.9990509,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
73,2,2,2,3,0,0,0,5,15,10,7,15,15,11,5,3,3,3,3,24,1,3,4,7,"2020/2/7 22:10","2020/2/7 22:20","G",0,56,0,0,0,3,1,20,30,0,2500,1500,0,1.333333,.9990509,.9990509,0,-1005,7500,0,0,0,0,0,0,0,0,0,0,0,0
74,1,2,2,2,0,1,1,1,20,10,5,20,10,5,2,5,1,5,5,23,3,0,1,13,"2020/2/7 22:08","2020/2/7 22:21","G",0,59,1,1,0,4,1,0,40,0,500,-500,.7,0,.9990509,.9990509,0,-20000,25000,0,0,0,1,1,0,0,0,0,0,0,0
75,3,3,3,3,0,0,0,,20,10,10,10,10,10,2,3,3,3,2,13,1,2,3,6,"2020/2/7 22:08","2020/2/7 22:26","G",0,55,0,0,0,3,0,50,30,30,-500,500,0,0,.9990509,.9990509,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,3,3,3,1,0,1,0,,20,0,0,0,0,0,0,1,1,3,1,1,1,1,4,13,"2020/2/7 22:18","2020/2/7 22:30","G",0,55,0,0,0,5,0,10,10,10,-500,500,1.1,0,.9990509,.9990509,0,-11500,35000,1,1,0,1,1,0,0,0,0,1,1,0
77,3,3,3,3,0,1,0,,20,15,10,15,12,7,7,3,3,3,3,26,1,2,6,3,"2020/2/7 22:20","2020/2/7 22:33","G",0,55,0,0,0,3,0,20,30,20,-5000,-5000,.7,0,.6347997,.9990509,1,-30000,25000,0,0,0,0,0,0,0,0,0,0,0,0
78,2,3,3,3,0,0,0,,19,5,2,10,10,5,2,4,4,4,4,16,3,0,9,1,"2020/2/7 22:17","2020/2/7 22:33","G",0,58,1,0,0,2,0,0,10,10,-5000,-5000,.7,.2666667,.5,.6347997,1,-3000,25000,0,0,0,0,0,0,0,0,0,0,0,0
79,1,3,2,3,0,1,1,1,19,14,8,16,16,2,1,4,3,4,3,11,1,0,5,5,"2020/2/7 22:25","2020/2/7 22:34","G",0,55,1,1,0,3,1,20,30,0,2500,1500,.7,0,1.010101,.9542896,0,-1005,3000,0,0,0,0,0,0,0,0,0,0,0,0
81,1,3,2,3,0,1,0,,18,10,5,17,17,3,0,1,1,2,1,14,1,0,5,5,"2020/2/7 22:26","2020/2/7 22:40","G",0,56,1,1,0,5,0,50,60,50,2500,5000,.7,0,.6347997,.6347997,0,-1005,7500,1,1,0,1,1,0,1,0,0,1,1,0
82,3,3,3,3,0,1,1,,15,10,1,19,15,10,1,3,3,3,4,23,3,0,10,1,"2020/2/7 22:27","2020/2/7 22:41","G",0,59,0,0,0,2,0,10,20,10,-5000,-5000,1.333333,1.333333,.889205,.889205,0,-30000,25000,0,0,0,0,0,0,0,0,0,0,0,0
